Zone,Species,timeRad,ImageDate,Month,Day,Year,LocationName
2,Wild_pig,4.88329,3/30/2016,3,30,2016,17
2,Wild_pig,1.50047,3/31/2015,3,31,2015,33
2,Wild_pig,4.9043,3/31/2015,3,31,2015,25
2,Wild_pig,5.46543,3/31/2015,3,31,2015,42
2,Wild_pig,5.5492,3/31/2015,3,31,2015,22
2,Wild_pig,5.74373,3/31/2015,3,31,2015,4
2,Wild_pig,0.77558,3/31/2016,3,31,2016,37
2,Wild_pig,5.35343,3/31/2016,3,31,2016,17
2,Wild_pig,5.58374,3/31/2016,3,31,2016,17
2,Wild_pig,0.14152,4/1/2015,4,1,2015,41
2,Wild_pig,0.33968,4/1/2015,4,1,2015,45
2,Wild_pig,0.81347,4/1/2015,4,1,2015,21
2,Wild_pig,1.58869,4/1/2015,4,1,2015,43
2,Wild_pig,2.01353,4/1/2015,4,1,2015,5
2,Wild_pig,5.42608,4/1/2015,4,1,2015,38
2,Wild_pig,1.28587,4/1/2016,4,1,2016,46
2,Wild_pig,4.95354,4/1/2016,4,1,2016,26
2,Wild_pig,4.98633,4/1/2016,4,1,2016,17
2,Wild_pig,5.13847,4/1/2016,4,1,2016,18
2,Wild_pig,5.80387,4/1/2016,4,1,2016,19
2,Wild_pig,0.44026,4/2/2015,4,2,2015,21
2,Wild_pig,1.1693,4/2/2015,4,2,2015,42
2,Wild_pig,1.26929,4/2/2015,4,2,2015,24
2,Wild_pig,2.96001,4/2/2015,4,2,2015,34
2,Wild_pig,4.46012,4/2/2015,4,2,2015,21
2,Wild_pig,5.84751,4/2/2015,4,2,2015,32
2,Wild_pig,4.60483,4/2/2016,4,2,2016,12
2,Wild_pig,0.23315,4/3/2015,4,3,2015,8
2,Wild_pig,5.0952,4/3/2015,4,3,2015,34
2,Wild_pig,5.98772,4/3/2015,4,3,2015,46
2,Wild_pig,1.3146,4/3/2016,4,3,2016,44
2,Wild_pig,4.90903,4/3/2016,4,3,2016,30
2,Wild_pig,5.21766,4/3/2016,4,3,2016,10
2,Wild_pig,0.28143,4/4/2015,4,4,2015,24
2,Wild_pig,1.04371,4/4/2015,4,4,2015,35
2,Wild_pig,1.59901,4/4/2015,4,4,2015,23
2,Wild_pig,4.14821,4/4/2015,4,4,2015,33
2,Wild_pig,4.83362,4/4/2015,4,4,2015,34
2,Wild_pig,5.1997,4/4/2015,4,4,2015,25
2,Wild_pig,0.01127,4/5/2015,4,5,2015,25
2,Wild_pig,1.53131,4/5/2015,4,5,2015,39
2,Wild_pig,4.63363,4/5/2015,4,5,2015,39
2,Wild_pig,5.07302,4/5/2015,4,5,2015,46
2,Wild_pig,0.02073,4/6/2015,4,6,2015,29
2,Wild_pig,4.77355,4/6/2015,4,6,2015,15
2,Wild_pig,4.84678,4/6/2015,4,6,2015,19
2,Wild_pig,4.90925,4/6/2015,4,6,2015,2
2,Wild_pig,4.92277,4/6/2015,4,6,2015,21
2,Wild_pig,5.54331,4/6/2015,4,6,2015,15
2,Wild_pig,6.10843,4/6/2015,4,6,2015,2
2,Wild_pig,2.64112,4/6/2016,4,6,2016,17
2,Wild_pig,0.19751,4/7/2015,4,7,2015,41
2,Wild_pig,1.15701,4/7/2015,4,7,2015,11
2,Wild_pig,1.29307,4/7/2015,4,7,2015,41
2,Wild_pig,3.54447,4/7/2015,4,7,2015,4
2,Wild_pig,3.57771,4/7/2015,4,7,2015,11
2,Wild_pig,3.75558,4/7/2015,4,7,2015,5
2,Wild_pig,4.01193,4/7/2015,4,7,2015,5
2,Wild_pig,4.21461,4/7/2015,4,7,2015,5
2,Wild_pig,4.37721,4/7/2015,4,7,2015,23
2,Wild_pig,4.79486,4/7/2015,4,7,2015,27
2,Wild_pig,4.87965,4/7/2015,4,7,2015,2
2,Wild_pig,5.75173,4/7/2015,4,7,2015,8
2,Wild_pig,3.13178,4/7/2016,4,7,2016,33
2,Wild_pig,1.22798,4/8/2015,4,8,2015,34
2,Wild_pig,1.49807,4/8/2015,4,8,2015,30
2,Wild_pig,1.93462,4/8/2015,4,8,2015,31
2,Wild_pig,2.97455,4/8/2015,4,8,2015,39
2,Wild_pig,4.63167,4/8/2015,4,8,2015,8
2,Wild_pig,5.05164,4/8/2015,4,8,2015,34
2,Wild_pig,5.72148,4/8/2015,4,8,2015,6
2,Wild_pig,1.33161,4/8/2016,4,8,2016,43
2,Wild_pig,1.33721,4/8/2016,4,8,2016,11
2,Wild_pig,0.53167,4/9/2015,4,9,2015,45
2,Wild_pig,0.66912,4/9/2015,4,9,2015,30
2,Wild_pig,0.94066,4/9/2015,4,9,2015,25
2,Wild_pig,1.11585,4/9/2015,4,9,2015,34
2,Wild_pig,1.54978,4/9/2015,4,9,2015,34
2,Wild_pig,2.32594,4/9/2015,4,9,2015,39
2,Wild_pig,2.38514,4/9/2015,4,9,2015,43
2,Wild_pig,3.12239,4/9/2015,4,9,2015,33
2,Wild_pig,4.94095,4/9/2015,4,9,2015,34
2,Wild_pig,5.21955,4/9/2015,4,9,2015,42
2,Wild_pig,6.17679,4/9/2015,4,9,2015,46
2,Wild_pig,6.09084,4/9/2016,4,9,2016,17
2,Wild_pig,0.33641,4/10/2015,4,10,2015,41
2,Wild_pig,0.99426,4/10/2015,4,10,2015,46
2,Wild_pig,1.42201,4/10/2015,4,10,2015,30
2,Wild_pig,1.67043,4/10/2015,4,10,2015,40
2,Wild_pig,3.8891,4/10/2015,4,10,2015,34
2,Wild_pig,4.16966,4/10/2015,4,10,2015,11
2,Wild_pig,4.68519,4/10/2015,4,10,2015,33
2,Wild_pig,4.83289,4/10/2015,4,10,2015,33
2,Wild_pig,5.48113,4/10/2015,4,10,2015,30
2,Wild_pig,5.95419,4/10/2015,4,10,2015,7
2,Wild_pig,0.34579,4/11/2015,4,11,2015,41
2,Wild_pig,0.72075,4/11/2015,4,11,2015,46
2,Wild_pig,0.96822,4/11/2015,4,11,2015,11
2,Wild_pig,2.79914,4/11/2015,4,11,2015,39
2,Wild_pig,3.21839,4/11/2015,4,11,2015,21
2,Wild_pig,3.50469,4/11/2015,4,11,2015,21
2,Wild_pig,3.69057,4/11/2015,4,11,2015,4
2,Wild_pig,5.92939,4/11/2015,4,11,2015,44
